"","ME1","ME2","ME3","ME4","ME5","ME6","ME7","ME8","ME9","ME10","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME28","ME29","ME30","ME31","ME32","ME33","ME34","ME35","ME36","ME37","ME38","ME39","ME40","ME41","ME42","ME43","ME44","ME45","ME46","ME47","ME48","ME49","ME50","ME51","ME52","ME53","ME54","ME55","ME56","ME57","ME58","ME59","ME60","ME61","ME62","ME63","ME64","ME65","ME66","ME67","ME68","ME69","ME70","ME71","ME72","ME73","ME74","ME75","ME76","ME77","ME78","ME79","ME80","ME81","ME82","ME83","ME84","ME85","ME86","ME87","ME88","ME89","ME90","ME91","ME92","ME93","ME94","ME95","ME96","ME97","ME98","ME99"
"P01-A07-HLM102",-0.047726839191975,0.622371201614561,0.101954067186708,-0.191561375744476,-0.213739427176883,-0.232962553905041,0.56295505117964,-0.201083391084915,-0.137064312604919,0.464806514253054,-0.220078520888152,0.774034375124688,-0.492526825245121,0.0558849306328466,-0.130092876762786,0.113225925800994,-0.153552613891291,-0.114121090318034,-0.287588746953595,-0.168385724886188,-0.128766376029523,-0.430007713859308,-0.404385296004755,-0.194471852932056,0.889984831109389,-0.203563610994861,-0.0429257577606698,0.918858474425142,-0.0612343660054093,-0.142101445431915,-0.367836429329499,0.443352449691135,-0.162553831575966,0.436288811451893,0.844938500075472,-0.180270915395831,-0.240768631301358,-0.288375952049169,0.863992948294249,0.914923873472913,0.112769041427757,-0.198780309471818,0.913106418502803,0.827600874621633,0.836169676420555,-0.147672332593415,-0.107196973385115,0.24237301787409,-0.123952147166308,-0.106790493723976,0.829446978857947,-0.0919257965555873,0.606470589898096,-0.477386665699709,-0.159469722789774,-0.276628672694858,-0.117851130197758,0.942809041582063,-0.127505362548761,-0.206418757492763,-0.207171387401749,-0.10486886107053,0.555835505978218,-0.106012231886956,-0.134122873225112,-0.161036029207912,-0.160907710137551,0.876652507926176,0.0464393911778101,-0.175688264421006,-0.282518101671145,-0.223863996264763,0.816020888186065,-0.165087858278782,-0.117851130197758,0.738615501311122,-0.284846608508404,-0.177882769428529,-0.229447607487267,-0.157722737132048,-0.0225811246809567,0.0347054659747767,0.144693713062973,-0.17691672697536,-0.22759626587353,-0.166542549135328,-0.0042485086343873,-0.201325374679071,-0.191748471921095,-0.117851130197758,-0.173438024340166,-0.152589835248668,-0.0464132806107013,-0.00863911314096026,-0.138414508779621,-0.163629605916643,0.105828211702299,-0.144842236559559,-0.154912823545782
"P01-A09-HLM053",-0.0913600584756445,-0.138038965079926,-0.0894488844265504,-0.0251749178644886,0.0763958007393757,-0.200635567900774,-0.137353113478308,-0.203132829149877,-0.0908709459973671,0.0626519809023283,0.0937967738318458,0.393888227848715,-0.218093273512927,-0.108321013479137,0.0314733131317552,-0.113470469822961,0.0321262353742344,-0.111617472195031,-0.194461081672244,-0.0583885081284837,0.0474597268781809,0.281696800126999,-0.160800980895282,0.186111563443131,-0.162319960582434,-0.148808057206142,-0.15947540703214,-0.142972701897991,-0.237555513654636,0.284490112187196,-0.0470058448045161,0.0128457846184654,-0.156052154804062,0.171025926303255,-0.183442823818815,-0.186137694246355,-0.0472798677188014,-0.0068332959245658,-0.14940132215349,-0.133195007719864,-0.0104318900444116,-0.203055650223597,-0.169645395665576,-0.125303403239223,-0.117644109481491,-0.146845532574958,-0.0668762061468848,-0.169651492889679,0.0117764657845907,-0.109106998550018,-0.171854532890562,-0.0357463236703415,-0.14920317163529,0.639625262875971,-0.159548120351085,-0.0722972835235751,-0.117851130197758,-0.117851130197758,-0.103212757504706,-0.190329631001611,-0.231622873812985,-0.0776410171242339,-0.227208285372967,-0.245703346835022,-0.196083222375798,-0.161036029207912,0.0204479087055798,-0.183960106236346,-0.172000131899607,-0.116627140331752,0.134541067069291,-0.276720576057623,0.0079512114982804,0.0065736455087754,-0.117851130197758,-0.249762527932558,-0.0596915490007423,-0.228509442108955,-0.0665871976726524,-0.156063494459982,-0.143543794016964,-0.34831969229706,-0.25870993473855,-0.17691672697536,0.742472156697233,-0.166542549135328,-0.174898693320073,0.795956388942749,-0.183896991921776,-0.117851130197758,0.445081813261546,-0.152589835248668,-0.248144570733355,-0.188457182964276,0.03919532123501,0.29288350873604,-0.146014635239599,-0.144842236559559,-0.154912823545782
"P01-C01-HLM080",-0.166856419069395,-0.326588595743476,-0.324813746515921,0.84149032506112,-0.274974417936191,-0.112947087823028,-0.137353113478308,-0.192336380416854,0.128560077172885,-0.047841348567409,0.150116787007052,-0.206988458825182,-0.200941176529665,0.420224056781512,-0.107503042444557,0.410897348282121,-0.189397034494672,-0.112869281256533,-0.268173527686834,0.64517680812837,-0.14186378590746,-0.100336734922996,0.69435039318111,0.131278697743552,-0.117823425782597,-0.266663345489046,0.882996320284497,-0.140010215378985,-0.247184009520061,-0.102506340868971,-0.107282875087375,-0.189961410700855,-0.156980965771477,-0.0530546748340492,-0.281716806602869,-0.198525402910581,-0.051078723681229,0.32959799713892,-0.114971900865413,-0.131307850179311,-0.0605757093825105,-0.199635377622174,-0.169645395665576,-0.0601725193670111,-0.241184195866111,-0.222927880202782,-0.124158048557367,-0.116821085013944,-0.123952147166308,-0.0784578577746876,-0.172168437182452,0.191833966933904,-0.0420766008041105,-0.198288399774961,-0.162684022803528,0.783482684151244,-0.117851130197758,-0.117851130197758,-0.0614310788392026,-0.235494427712022,-0.169090596243306,-0.126772879468357,-0.216688651321056,-0.252720028260782,-0.196083222375798,-0.161036029207912,-0.160907710137551,-0.183960106236346,-0.172000131899607,-0.0896790025834163,0.132414953826945,0.0311852385709848,-0.12041533035334,-0.202078442146125,-0.117851130197758,-0.28087491622245,-0.235380215036057,-0.241166110279061,-0.252124480747396,-0.135102215532383,0.134338628985679,-0.324761037464111,-0.403720866604731,0.535348962181715,-0.200139128252329,-0.166542549135328,-0.174898693320073,-0.215020812402424,-0.239005398634036,-0.117851130197758,-0.173438024340166,-0.152589835248668,0.472415939406541,0.832115185504701,-0.138414508779621,0.852523732680455,-0.146014635239599,-0.144842236559559,0.00233489817804193
"P01-D06-HLM093",-0.208431105468274,-0.161551583622028,-0.324813746515921,-0.131542017876955,-0.315097253459243,-0.129164585357712,-0.234152072582858,-0.0264631748365784,-0.118110226089865,-0.230994093398611,-0.0292066894015002,-0.0989128400548475,0.649676660890657,-0.163662863852646,-0.146678549048604,-0.0878659902537831,-0.169272803406045,-0.110365663133529,0.277253585557375,-0.205584425063033,0.853286151521197,-0.475350120664546,0.23335195266785,-0.166317230391532,-0.117823425782597,0.626533791367889,-0.256577711052448,-0.141491458638488,-0.0532201412585745,-0.120011328639342,-0.0913070892118343,-0.23650486170395,-0.162553831575966,-0.325381598452267,-0.0492932492901522,0.872165110358088,0.307070497732938,-0.208475869172933,-0.320263293830237,-0.18963761899049,-0.188577250475503,-0.242071343881796,-0.149902773964507,-0.0589787204204059,0.0676671003713497,-0.223312115525139,-0.127130801924433,-0.268708507656682,-0.398713084178828,-0.108260552495822,-0.171959167654525,-0.202188995670814,-0.366223933364344,0.401310924888492,-0.158387836443681,-0.255798284686586,-0.117851130197758,-0.117851130197758,-0.169346198231179,0.603043123256913,-0.206517218724132,-0.126767668305063,0.634996024084036,0.443363519677203,-0.196083222375798,-0.161036029207912,-0.159510301972662,-0.183960106236346,-0.172000131899607,-0.0376128459433478,-0.176224333577839,0.566815502571694,0.0910696952131225,0.342988794147485,-0.117851130197758,-0.14654645331069,-0.208090729417784,0.843615768921952,0.825898895223842,0.90479333878105,-0.195850378572509,0.515443346975354,-0.390393423920843,-0.17691672697536,-0.0582315687721834,-0.166542549135328,-0.174898693320073,-0.132936142524183,-0.084664909578958,0.942809041582064,-0.173438024340166,0.168985816333643,0.712368852298416,-0.188457182964276,-0.138414508779621,-0.163629605916642,0.916274234974892,-0.144842236559559,-0.154912823545782
"P01-E12-HLM138",-0.170850010857424,0.600538208519262,-0.581298880158544,0.278403913291082,-0.206627368092007,-0.149034811219817,0.370485656148422,0.393406321602337,-0.241358623760669,-0.411744076950812,0.834162395190495,-0.35829432510365,0.169799364869009,0.615975473391671,0.477237334133673,-0.139074949392139,0.000673201474077026,-0.110365663133529,0.594407369760007,0.441717658191412,0.203436955430835,0.649300051830102,0.0155272525056784,0.847150598516636,-0.273561297582024,0.56197257241389,0.161875179483405,0.0598875590808595,0.782371906739879,-0.144879688673905,0.00666819478056561,0.741819648490352,-0.156980965771477,0.67784310266874,-0.0412248649892544,0.0817759451747415,0.81592787896555,0.678775482377765,0.205229617526972,-0.165126003783936,0.897895653170105,0.038501102251895,-0.0551381897993755,-0.442318446890071,0.115205664368232,-0.155864186322417,-0.229743400252812,0.619830480675789,-0.236890691827896,0.940271704826783,0.340260896435633,0.858156602486602,0.604073908894792,-0.0921799924339393,0.252603252092346,0.0752062035487481,-0.117851130197758,-0.117851130197758,-0.169346198231179,0.597038671021357,0.202397612964632,-0.125393943091179,-0.233008000799836,0.728835269093745,-0.196083222375798,-0.161036029207912,-0.160907710137551,-0.0804526633801757,-0.172000131899607,-0.167027286714084,0.840927237822731,0.539354544389296,-0.255093609801304,-0.186643852937913,-0.117851130197758,-0.0532092884410151,0.465647852307916,-0.0286918192680509,-0.144291603166785,0.148910707214359,-0.195850378572509,0.200485575654654,-0.0755401678661793,-0.17691672697536,-0.04019331081881,-0.00233457560096014,-0.0360006184757692,-0.186332999277922,-0.233741635085243,-0.117851130197758,0.768984357119618,-0.152589835248668,0.00344457585833904,-0.188457182964276,-0.138414508779621,-0.163629605916642,-0.146014635239599,0.00608396976194956,-0.07954359797917
"P01-F06-HLM081",-0.00345865092969349,-0.0727987934517849,0.0989247517248008,-0.20878774643795,-0.154196353686981,-0.0191495494747788,-0.524548949896508,-0.213929277882901,-0.147486285977843,0.056911272759772,-0.287473465612016,-0.120527963808914,-0.218093273512927,-0.143576232012485,-0.0772985374301311,-0.0878659902537831,-0.14789453992085,-0.110365663133529,-0.214116150213431,-0.133226634129481,-0.166169229179117,-0.0605702479862241,-0.252917381342652,-0.161630910464094,-0.151195826882475,-0.172379114862723,-0.147215110397085,-0.0578492089439798,-0.265101045543705,0.838875276744524,-0.00698343852024116,-0.21603342566376,0.401309223683616,-0.175758913963321,-0.0233183326412676,-0.245012907023223,-0.258895111031976,-0.275650267924811,-0.0828273867687165,-0.116538166887657,-0.205591666460015,-0.201281922351362,-0.169645395665576,-0.000237799036617803,-0.181374673912518,-0.0544202374664344,-0.107312446143992,-0.25770217268257,-0.127323447006952,-0.111245649819393,-0.169761837611294,-0.209289814773358,-0.143284423588134,-0.22756786325704,-0.158152643759748,-0.269667835112097,-0.117851130197758,-0.117851130197758,0.0462438427593145,-0.209856303667606,0.307575919201589,-0.126772879468357,-0.233008000799836,-0.254452781593015,0.172151606381121,0.261034781421988,-0.160907710137551,-0.183960106236346,-0.0805562906420967,-0.0542542105085475,-0.289299260409064,-0.276720576057623,-0.255093609801304,-0.202078442146125,0.942809041582064,0.442393610918987,-0.284846608508404,-0.157947568849915,-0.228782855147515,-0.142683441029861,-0.109215751626733,0.539002001808303,0.271648837373007,-0.17691672697536,-0.237015145541357,-0.0596132928512508,-0.118961130537349,-0.177319982744858,-0.0504324088540076,-0.117851130197758,-0.173438024340166,-0.152589835248668,-0.246655621508572,0.307267025421916,-0.138414508779621,-0.163629605916642,-0.146014635239599,-0.144842236559559,-0.07954359797917
"P01-G06-HLM075",-0.115472862377699,-0.127199934971966,0.350863568735546,-0.111826901432776,-0.0446910929959954,0.0492939061993074,0.374672769064535,0.786901687715494,-0.165887941612623,-0.359586801090535,-0.0132382502198552,-0.142143087562981,0.255559849785319,0.066664317788717,0.572884401284228,-0.574351102068165,-0.130593766996578,-0.110365663133529,-0.0937621548284403,-0.380442249816443,-0.293640663596725,0.252024901105665,0.171654575086281,-0.225836416018549,0.168385957067933,-0.266663345489046,-0.146059424633816,-0.128725866819581,-0.0112248235937384,-0.318958208915841,-0.0827960175344239,-0.245725273096648,-0.157909776738892,-0.20439400429844,-0.142221455946958,0.0748476825883176,-0.0652666109338317,-0.262161436470358,-0.118725603589901,-0.104017482215846,-0.188577250475503,-0.200917979847708,-0.159424169872373,-0.281309489061352,-0.340304437719461,0.228572087808227,-0.115239788456169,-0.264305973667037,-0.145865596130496,-0.163953656960138,-0.170912820014892,-0.0177532081700358,-0.161040667729602,0.194019357924184,-0.16050457059908,0.331436728741902,-0.117851130197758,-0.117851130197758,-0.169346198231179,0.0779965820861125,-0.231622873812985,-0.126762443424461,-0.140347161644566,0.0231413987552442,-0.196083222375798,-0.161036029207912,0.0248717752206692,-0.183960106236346,-0.0239564726578969,-0.112465326917306,-0.0316100717906602,0.185859409425652,-0.255093609801304,-0.202078442146125,-0.117851130197758,-0.0199015868728584,0.586757547106686,-0.0589889557529173,0.165017795358737,-0.1587777703959,-0.195850378572509,-0.0630072567539648,0.545122666774441,-0.17691672697536,-0.192319251349063,0.925634548354957,-0.0984236120514312,-0.0513792114172106,0.156254596079705,-0.117851130197758,-0.173438024340166,-0.152589835248668,-0.156643326608775,-0.188457182964276,-0.138414508779621,-0.163629605916642,-0.146014635239599,-0.0693791333988049,-0.154912823545782
"P01-H12-HLM148",0.927540547856906,-0.195474188319272,0.337421112375897,-0.194245252086225,0.388493245772756,0.914663891826393,-0.137353113478308,-0.140767524835911,0.904178916133824,0.629019853607158,-0.238518423174039,-0.142143087562981,-0.200941176529665,-0.596450836786366,-0.622159249087536,0.643184656669033,0.919659930887761,-0.161689834655092,0.483959237419008,0.19620963636806,-0.249635731542619,-0.0129740231256376,0.112691192325318,-0.183540186762005,-0.117823425782597,0.0890923404359234,-0.059164166604342,-0.231447815967792,0.354012426514801,-0.102506340868971,0.892838263118096,-0.100489938620507,-0.241502763806228,-0.241632826277734,-0.326916951393783,0.0256793578221709,-0.219788434244997,0.298252251482797,-0.219871866974203,-0.174448102619648,-0.168333677284417,0.673338719907342,-0.138559357338782,0.131983387387697,0.0929965916071984,0.869458539554976,0.933671853945611,0.483694241016715,0.747294595173345,-0.153661364970146,-0.171749898126599,-0.174176385661833,-0.204938049079343,0.0143922000206917,0.869627342583452,-0.136642401614249,0.942809041582063,-0.117851130197758,0.92329014905807,-0.203326266062144,0.767674291641921,0.941752571420537,0.0895367129624071,-0.0819990173574008,0.868739122628979,0.866217423033395,0.91872916873417,-0.0933811327044551,0.918074031620218,0.932920433094151,-0.101771324059157,-0.269188970519994,0.225747974661087,0.810483040144935,-0.117851130197758,-0.214259513086136,0.305296919565194,0.265423670704325,0.182441534386431,-0.14430007660399,0.897401032774464,-0.180800530918708,-0.237603007727204,0.703068126645805,0.450037659451395,-0.166542549135328,-0.145984079816206,0.383378946505344,-0.0561533763869164,-0.117851130197758,-0.173438024340166,0.899143030407033,-0.246462528360243,-0.188457182964276,0.929706240222339,-0.163629605916642,-0.146014635239599,0.932348582994211,0.931316415509209
"P02-G03-HLM036",-0.123384601486803,-0.20125734894537,0.431211757593986,-0.256756026909333,0.74443686683517,-0.120063642344549,-0.137353113478308,-0.202595431110795,-0.131960657263423,-0.163223301514945,-0.289560606733831,-0.0989128400548475,0.255559849785319,-0.146737832464111,0.00213720622395708,-0.164679428961317,-0.161748609026637,0.941760330958808,-0.297518531381846,-0.337076560664213,-0.12410704757477,-0.103782912504053,-0.409471707523547,-0.232744263135081,-0.117823425782597,-0.219521230175884,-0.233453922287401,-0.136248765859184,-0.260864433678557,-0.192402035532776,-0.196294763410772,-0.209302973014232,0.793225066360452,-0.284935822598077,0.203195984607627,-0.244521176367327,-0.239920997786296,-0.265128909457643,-0.0631611916392607,0.0993463589238383,-0.188577250475503,0.533902761239218,0.0988542594689633,0.00873611600535129,-0.231531615787755,-0.146988342678058,-0.0560141890788387,-0.268708507656682,0.397626052518852,-0.108795130532601,-0.141301181813255,-0.318910044918537,-0.143777652592064,-0.25392482454369,-0.163483677928901,-0.17909113881053,-0.117851130197758,-0.117851130197758,-0.169346198231179,-0.232652990428238,-0.231622873812985,-0.126772879468357,-0.230108143086401,-0.254452781593015,0.0736482560940031,-0.161036029207912,-0.160907710137551,0.216981819340186,-0.172000131899607,-0.179566355674691,-0.226460167211102,-0.276720576057623,-0.255093609801304,-0.202078442146125,-0.117851130197758,-0.216454826364401,-0.284846608508404,-0.215852773938848,-0.252124480747396,-0.159054310841244,-0.168847855717961,-0.372747872979245,0.404502183647087,-0.17691672697536,-0.237015145541357,-0.0309739342261055,0.92831402947536,-0.215020812402424,0.883388596302327,-0.117851130197758,-0.173438024340166,-0.152589835248668,-0.24391003974165,-0.188457182964276,-0.138414508779621,-0.163629605916642,-0.146014635239599,-0.144842236559559,-0.154912823545782
